Experiment,Costs,Coordinates
1,31813,"{(41, 40), (15, 30), (35, 13), (12, 9), (17, 43)}"
2,31282,"{(42, 39), (14, 42), (10, 10), (23, 28), (34, 11)}"
3,32380,"{(41, 16), (17, 38), (6, 10), (41, 41), (26, 12)}"
4,32119,"{(15, 40), (34, 7), (30, 23), (10, 10), (42, 40)}"
5,31489,"{(42, 39), (13, 43), (10, 10), (33, 11), (23, 30)}"
6,31345,"{(36, 11), (13, 43), (11, 10), (42, 41), (24, 29)}"
7,31147,"{(33, 23), (7, 10), (15, 39), (41, 41), (29, 8)}"
8,31759,"{(11, 10), (34, 7), (15, 39), (31, 23), (41, 41)}"
9,32200,"{(24, 8), (5, 11), (16, 39), (36, 19), (41, 41)}"
10,31678,"{(42, 39), (11, 10), (35, 10), (25, 25), (15, 41)}"
11,31984,"{(16, 39), (11, 10), (33, 22), (33, 6), (41, 41)}"
12,31948,"{(42, 39), (10, 8), (8, 36), (32, 13), (22, 38)}"
13,31687,"{(36, 11), (13, 43), (23, 29), (12, 9), (42, 40)}"
14,31786,"{(5, 11), (17, 38), (24, 9), (41, 41), (38, 17)}"
15,32722,"{(40, 39), (16, 38), (43, 7), (8, 9), (28, 15)}"
16,31462,"{(15, 30), (40, 39), (34, 13), (12, 8), (17, 43)}"
17,32128,"{(41, 40), (42, 16), (17, 38), (6, 10), (26, 12)}"
18,32407,"{(41, 40), (16, 39), (41, 16), (6, 10), (26, 12)}"
19,31930,"{(15, 39), (31, 23), (36, 7), (12, 9), (41, 41)}"
20,32011,"{(36, 11), (13, 43), (23, 29), (12, 9), (42, 40)}"
21,31732,"{(36, 20), (16, 39), (26, 8), (6, 10), (41, 41)}"
22,31597,"{(36, 11), (13, 43), (23, 29), (12, 9), (42, 40)}"
23,31138,"{(34, 23), (16, 39), (7, 10), (41, 41), (29, 8)}"
24,31876,"{(11, 10), (35, 7), (15, 39), (31, 23), (41, 41)}"
25,32245,"{(5, 11), (16, 39), (41, 39), (35, 16), (23, 8)}"
26,31867,"{(42, 39), (14, 42), (12, 9), (35, 11), (22, 28)}"
27,32083,"{(24, 8), (5, 11), (16, 39), (36, 19), (41, 41)}"
28,31543,"{(29, 7), (7, 10), (15, 39), (41, 41), (32, 22)}"
29,32119,"{(36, 11), (13, 43), (23, 29), (12, 9), (42, 40)}"
30,32038,"{(41, 40), (35, 13), (12, 9), (16, 31), (16, 46)}"
